state	scenario	rep	year	region	roh_class	FROH_contribution
2140 R6	restore_6km	rep009	2140	W	250-500kb	0.0108674577277722
2140 R6	restore_6km	rep009	2140	E	250-500kb	0.00299998362737686
2140 R6	restore_6km	rep009	2140	SE	250-500kb	0.00399550367482752
2140 SQ	status_quo	rep001	2140	NW	250-500kb	0.00481451444920146
2140 SQ	status_quo	rep001	2140	NE	250-500kb	0.00537671778902031
2140 SQ	status_quo	rep001	2140	W	250-500kb	0.00499973943254348
2140 SQ	status_quo	rep001	2140	E	250-500kb	0.00979250205135539
2140 SQ	status_quo	rep001	2140	SE	250-500kb	0.0097707192317738
2140 SQ	status_quo	rep002	2140	NW	250-500kb	0.0108316626285167
2140 SQ	status_quo	rep002	2140	NE	250-500kb	0.00585898450793476
2140 SQ	status_quo	rep002	2140	W	250-500kb	0.00885961374347942
2140 SQ	status_quo	rep002	2140	E	250-500kb	0.00438522375410407
2140 SQ	status_quo	rep002	2140	SE	250-500kb	0.00776553515313232
2140 SQ	status_quo	rep003	2140	NW	250-500kb	0.00711292859279267
2140 SQ	status_quo	rep003	2140	NE	250-500kb	0.0094237874794264
2140 SQ	status_quo	rep003	2140	W	250-500kb	0.00299427386874084
2140 SQ	status_quo	rep003	2140	E	250-500kb	0.0042520425363848
2140 SQ	status_quo	rep003	2140	SE	250-500kb	0.00453780937091475
2140 SQ	status_quo	rep004	2140	NW	250-500kb	0.00782653221282613
2140 SQ	status_quo	rep004	2140	NE	250-500kb	0.00719066756349388
2140 SQ	status_quo	rep004	2140	W	250-500kb	0.00132577186717474
2140 SQ	status_quo	rep004	2140	E	250-500kb	0.0052132033171451
2140 SQ	status_quo	rep004	2140	SE	250-500kb	0.00596126433631041
