comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
2020_to_2140	restore_4km	rep001	E-NEW01	0.7818797836482176	0.7834729073746252	0.0015931237264075193
2020_to_2140	restore_6km	rep001	E-NEW01	0.7818797836482176	0.7831062327467709	0.001226449098553295
2140_restoration_vs_statusquo	restore_2km	rep001	E-NEW01	0.7833318900890511	0.7828781580006519	-0.00045373208839927237
2140_restoration_vs_statusquo	restore_4km	rep001	E-NEW01	0.7833318900890511	0.7834729073746252	0.00014101728557402993
2140_restoration_vs_statusquo	restore_6km	rep001	E-NEW01	0.7833318900890511	0.7831062327467709	-0.0002256573422801944
1900_to_2020	shared_history	rep001	E-NEW02	0.022912447653916698	0.03169653791815327	0.008784090264236575
2020_to_2140	status_quo	rep001	E-NEW02	0.03169653791815327	0.04094832178431259	0.009251783866159317
2020_to_2140	restore_2km	rep001	E-NEW02	0.03169653791815327	0.04358246219263701	0.01188592427448374
2020_to_2140	restore_4km	rep001	E-NEW02	0.03169653791815327	0.04411213798592517	0.012415600067771898
2020_to_2140	restore_6km	rep001	E-NEW02	0.03169653791815327	0.04418798040324214	0.01249144248508887
2140_restoration_vs_statusquo	restore_2km	rep001	E-NEW02	0.04094832178431259	0.04358246219263701	0.002634140408324423
2140_restoration_vs_statusquo	restore_4km	rep001	E-NEW02	0.04094832178431259	0.04411213798592517	0.0031638162016125806
2140_restoration_vs_statusquo	restore_6km	rep001	E-NEW02	0.04094832178431259	0.04418798040324214	0.003239658618929553
1900_to_2020	shared_history	rep001	SE-NEW01	0.7824662637373463	0.7834124269537094	0.000946163216363094
2020_to_2140	status_quo	rep001	SE-NEW01	0.7834124269537094	0.7840195492347152	0.0006071222810057897
2020_to_2140	restore_2km	rep001	SE-NEW01	0.7834124269537094	0.784384725318557	0.0009722983648475791
2020_to_2140	restore_4km	rep001	SE-NEW01	0.7834124269537094	0.7838890386300015	0.00047661167629209356
2020_to_2140	restore_6km	rep001	SE-NEW01	0.7834124269537094	0.78340955958081	-2.867372899340026e-06
2140_restoration_vs_statusquo	restore_2km	rep001	SE-NEW01	0.7840195492347152	0.784384725318557	0.00036517608384178946
2140_restoration_vs_statusquo	restore_4km	rep001	SE-NEW01	0.7840195492347152	0.7838890386300015	-0.00013051060471369613
2140_restoration_vs_statusquo	restore_6km	rep001	SE-NEW01	0.7840195492347152	0.78340955958081	-0.0006099896539051297
1900_to_2020	shared_history	rep001	SE-NEW02	0.025279626865664203	0.035227996291577496	0.009948369425913293
2020_to_2140	status_quo	rep001	SE-NEW02	0.035227996291577496	0.04398313558044022	0.008755139288862727
2020_to_2140	restore_2km	rep001	SE-NEW02	0.035227996291577496	0.045996733454311295	0.010768737162733799
2020_to_2140	restore_4km	rep001	SE-NEW02	0.035227996291577496	0.04596938545855678	0.010741389166979282
2020_to_2140	restore_6km	rep001	SE-NEW02	0.035227996291577496	0.04280234913892186	0.007574352847344361
2140_restoration_vs_statusquo	restore_2km	rep001	SE-NEW02	0.04398313558044022	0.045996733454311295	0.0020135978738710716
2140_restoration_vs_statusquo	restore_4km	rep001	SE-NEW02	0.04398313558044022	0.04596938545855678	0.001986249878116554
2140_restoration_vs_statusquo	restore_6km	rep001	SE-NEW02	0.04398313558044022	0.04280234913892186	-0.0011807864415183666
1900_to_2020	shared_history	rep001	NEW01-NEW02	0.7815005389462659	0.7850284545510938	0.0035279156048279026
2020_to_2140	status_quo	rep001	NEW01-NEW02	0.7850284545510938	0.7901044608556304	0.005076006304536529
2020_to_2140	restore_2km	rep001	NEW01-NEW02	0.7850284545510938	0.7904132317952388	0.005384777244144989
2020_to_2140	restore_4km	rep001	NEW01-NEW02	0.7850284545510938	0.7920231939366353	0.006994739385541515
2020_to_2140	restore_6km	rep001	NEW01-NEW02	0.7850284545510938	0.7892002106485263	0.0041717560974324774
2140_restoration_vs_statusquo	restore_2km	rep001	NEW01-NEW02	0.7901044608556304	0.7904132317952388	0.00030877093960846036
2140_restoration_vs_statusquo	restore_4km	rep001	NEW01-NEW02	0.7901044608556304	0.7920231939366353	0.0019187330810049863
2140_restoration_vs_statusquo	restore_6km	rep001	NEW01-NEW02	0.7901044608556304	0.7892002106485263	-0.0009042502071040515
1900_to_2020	shared_history	rep002	NW-NE	0.0068186175005988635	0.012557831495725492	0.005739213995126629
2020_to_2140	status_quo	rep002	NW-NE	0.012557831495725492	0.011616579382425414	-0.0009412521133000777
2020_to_2140	restore_2km	rep002	NW-NE	0.012557831495725492	0.013677108435778266	0.0011192769400527741
2020_to_2140	restore_4km	rep002	NW-NE	0.012557831495725492	0.01366165880304183	0.0011038273073163372
2020_to_2140	restore_6km	rep002	NW-NE	0.012557831495725492	0.012106571345618333	-0.00045126015010715954
2140_restoration_vs_statusquo	restore_2km	rep002	NW-NE	0.011616579382425414	0.013677108435778266	0.002060529053352852
2140_restoration_vs_statusquo	restore_4km	rep002	NW-NE	0.011616579382425414	0.01366165880304183	0.002045079420616415
2140_restoration_vs_statusquo	restore_6km	rep002	NW-NE	0.011616579382425414	0.012106571345618333	0.0004899919631929182
1900_to_2020	shared_history	rep002	NW-W	0.0073389280667455975	0.008859902214296592	0.0015209741475509944
2020_to_2140	status_quo	rep002	NW-W	0.008859902214296592	0.00710000647074352	-0.0017598957435530716
2020_to_2140	restore_2km	rep002	NW-W	0.008859902214296592	0.01080519946653303	0.0019452972522364387
2020_to_2140	restore_4km	rep002	NW-W	0.008859902214296592	0.0114411704624266	0.0025812682481300073
2020_to_2140	restore_6km	rep002	NW-W	0.008859902214296592	0.011286110745174003	0.0024262085308774106
2140_restoration_vs_statusquo	restore_2km	rep002	NW-W	0.00710000647074352	0.01080519946653303	0.0037051929957895103
2140_restoration_vs_statusquo	restore_4km	rep002	NW-W	0.00710000647074352	0.0114411704624266	0.004341163991683079
2140_restoration_vs_statusquo	restore_6km	rep002	NW-W	0.00710000647074352	0.011286110745174003	0.004186104274430482
1900_to_2020	shared_history	rep002	NW-E	0.0086030788194012	0.009804280847569326	0.001201202028168126
2020_to_2140	status_quo	rep002	NW-E	0.009804280847569326	0.012556531983328224	0.002752251135758898
2020_to_2140	restore_2km	rep002	NW-E	0.009804280847569326	0.013620010141719622	0.0038157292941502965
2020_to_2140	restore_4km	rep002	NW-E	0.009804280847569326	0.013009037842325578	0.0032047569947562526
2020_to_2140	restore_6km	rep002	NW-E	0.009804280847569326	0.01248137557081586	0.0026770947232465335
