comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
1900_to_2020	shared_history	rep003	E	0.00021894259146748864	0.00021877045099051996	-1.721404769686782e-07	0.9992137643214375	-0.0786235678562508
2020_to_2140	status_quo	rep003	E	0.00021877045099051996	0.00021587390191507474	-2.8965490754452204e-06	0.9867598706208695	-1.324012937913055
2020_to_2140	restore_2km	rep003	E	0.00021877045099051996	0.00021722402231017876	-1.5464286803411993e-06	0.9929312726040492	-0.7068727395950769
2020_to_2140	restore_4km	rep003	E	0.00021877045099051996	0.00021867103094953285	-9.942004098711368e-08	0.9995455508706181	-0.0454449129381862
2020_to_2140	restore_6km	rep003	E	0.00021877045099051996	0.000218769192325855	-1.258664664952492e-09	0.9999942466422715	-0.00057533577284552
2140_restoration_vs_statusquo	restore_2km	rep003	E	0.00021587390191507474	0.00021722402231017876	1.3501203951040211e-06	1.0062542085130566	0.625420851305658
2140_restoration_vs_statusquo	restore_4km	rep003	E	0.00021587390191507474	0.00021867103094953285	2.7971290344581067e-06	1.0129572357271723	1.2957235727172334
2140_restoration_vs_statusquo	restore_6km	rep003	E	0.00021587390191507474	0.000218769192325855	2.895290410780268e-06	1.0134119520011238	1.3411952001123773
1900_to_2020	shared_history	rep003	SE	0.00021738969585490475	0.00021709432198021797	-2.953738746867807e-07	0.9986412701231068	-0.13587298768932277
2020_to_2140	status_quo	rep003	SE	0.00021709432198021797	0.00021596658014303642	-1.1277418371815457e-06	0.9948052909588105	-0.519470904118946
2020_to_2140	restore_2km	rep003	SE	0.00021709432198021797	0.00021679476702406354	-2.9955495615442695e-07	0.998620162179176	-0.13798378208239592
2020_to_2140	restore_4km	rep003	SE	0.00021709432198021797	0.00021702212960470407	-7.219237551389732e-08	0.9996674607845318	-0.03325392154681639
2020_to_2140	restore_6km	rep003	SE	0.00021709432198021797	0.00021769571050958978	6.013885293718187e-07	1.0027701716188901	0.27701716188901493
2140_restoration_vs_statusquo	restore_2km	rep003	SE	0.00021596658014303642	0.00021679476702406354	8.281868810271187e-07	1.0038347918482509	0.38347918482508625
2140_restoration_vs_statusquo	restore_4km	rep003	SE	0.00021596658014303642	0.00021702212960470407	1.0555494616676484e-06	1.0048875592740718	0.48875592740718066
2140_restoration_vs_statusquo	restore_6km	rep003	SE	0.00021596658014303642	0.00021769571050958978	1.7291303665533644e-06	1.0080064719523185	0.8006471952318517
1900_to_2020	shared_history	rep003	NEW01	3.9650931647025675e-05	3.871897003462504e-05	-9.319616124006371e-07	0.9764958457799429	-2.350415422005714
2020_to_2140	status_quo	rep003	NEW01	3.871897003462504e-05	3.6891822965846975e-05	-1.8271470687780623e-06	0.9528100291112055	-4.718997088879451
2020_to_2140	restore_2km	rep003	NEW01	3.871897003462504e-05	3.853181961986491e-05	-1.8715041476012525e-07	0.9951664412924011	-0.48335587075989395
2020_to_2140	restore_4km	rep003	NEW01	3.871897003462504e-05	3.8305476991624055e-05	-4.1349304300098235e-07	0.98932066006324	-1.0679339936759957
2020_to_2140	restore_6km	rep003	NEW01	3.871897003462504e-05	3.850548893380552e-05	-2.1348110081951475e-07	0.9944863951538844	-0.5513604846115627
2140_restoration_vs_statusquo	restore_2km	rep003	NEW01	3.6891822965846975e-05	3.853181961986491e-05	1.639996654017937e-06	1.044454204812166	4.445420481216611
2140_restoration_vs_statusquo	restore_4km	rep003	NEW01	3.6891822965846975e-05	3.8305476991624055e-05	1.41365402577708e-06	1.038318898664503	3.831889866450311
2140_restoration_vs_statusquo	restore_6km	rep003	NEW01	3.6891822965846975e-05	3.850548893380552e-05	1.6136659679585476e-06	1.0437404779225037	4.374047792250368
1900_to_2020	shared_history	rep003	NEW02	0.00021895064258110468	0.0002160894663229233	-2.8611762581813886e-06	0.9869323230822602	-1.3067676917739801
2020_to_2140	status_quo	rep003	NEW02	0.0002160894663229233	0.00021031313590013232	-5.776330422790969e-06	0.9732688014780005	-2.6731198521999455
2020_to_2140	restore_2km	rep003	NEW02	0.0002160894663229233	0.00020967873911117963	-6.4107272117436644e-06	0.9703329953059188	-2.9667004694081234
2020_to_2140	restore_4km	rep003	NEW02	0.0002160894663229233	0.0002100735555918102	-6.015910731113085e-06	0.9721600926066293	-2.783990739337072
2020_to_2140	restore_6km	rep003	NEW02	0.0002160894663229233	0.00020960861643912584	-6.480849883797458e-06	0.970008487715396	-2.999151228460395
2140_restoration_vs_statusquo	restore_2km	rep003	NEW02	0.00021031313590013232	0.00020967873911117963	-6.343967889526952e-07	0.9969835607926366	-0.3016439207363386
2140_restoration_vs_statusquo	restore_4km	rep003	NEW02	0.00021031313590013232	0.0002100735555918102	-2.3958030832211597e-07	0.9988608400169741	-0.11391599830259391
2140_restoration_vs_statusquo	restore_6km	rep003	NEW02	0.00021031313590013232	0.00020960861643912584	-7.045194610064891e-07	0.9966501404774781	-0.33498595225218697
1900_to_2020	shared_history	rep004	NW	0.0002193293053347187	0.0002181565843200883	-1.1727210146304009e-06	0.9946531494601658	-0.5346850539834191
2020_to_2140	status_quo	rep004	NW	0.0002181565843200883	0.0002157805726536638	-2.3760116664245053e-06	0.9891086868918963	-1.089131310810365
2020_to_2140	restore_2km	rep004	NW	0.0002181565843200883	0.0002157628283753916	-2.3937559446967076e-06	0.9890273495427281	-1.0972650457271915
2020_to_2140	restore_4km	rep004	NW	0.0002181565843200883	0.00021737921421641513	-7.773701036731685e-07	0.9964366415705675	-0.35633584294324505
2020_to_2140	restore_6km	rep004	NW	0.0002181565843200883	0.00021710782730738045	-1.0487570127078573e-06	0.9951926410290277	-0.48073589709722864
2140_restoration_vs_statusquo	restore_2km	rep004	NW	0.0002157805726536638	0.0002157628283753916	-1.774427827220225e-08	0.9999177670257615	-0.008223297423848308
2140_restoration_vs_statusquo	restore_4km	rep004	NW	0.0002157805726536638	0.00021737921421641513	1.5986415627513369e-06	1.0074086445461299	0.7408644546129883
2140_restoration_vs_statusquo	restore_6km	rep004	NW	0.0002157805726536638	0.00021710782730738045	1.327254653716648e-06	1.0061509460161038	0.6150946016103775
1900_to_2020	shared_history	rep004	NE	0.00021917979912058018	0.0002171981545812351	-1.9816445393450936e-06	0.9909588176132286	-0.9041182386771429
2020_to_2140	status_quo	rep004	NE	0.0002171981545812351	0.00021602931806617205	-1.1688365150630423e-06	0.9946185706903606	-0.5381429309639363
2020_to_2140	restore_2km	rep004	NE	0.0002171981545812351	0.0002155526024418042	-1.6455521394308985e-06	0.9924237287254877	-0.7576271274512325
2020_to_2140	restore_4km	rep004	NE	0.0002171981545812351	0.00021654635436198612	-6.518002192489687e-07	0.9969990526829952	-0.3000947317004843
2020_to_2140	restore_6km	rep004	NE	0.0002171981545812351	0.00021781207912130275	6.139245400676617e-07	1.0028265642553515	0.2826564255351549
2140_restoration_vs_statusquo	restore_2km	rep004	NE	0.00021602931806617205	0.0002155526024418042	-4.767156243678562e-07	0.9977932827421978	-0.22067172578021932
2140_restoration_vs_statusquo	restore_4km	rep004	NE	0.00021602931806617205	0.00021654635436198612	5.170362958140736e-07	1.0023933616994325	0.23933616994324947
2140_restoration_vs_statusquo	restore_6km	rep004	NE	0.00021602931806617205	0.00021781207912130275	1.782761055130704e-06	1.0082524032899305	0.8252403289930488
