sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
43	500	77	0	0	0.8311688311688312	0.16883116883116883	0	77	1
43	1000	305	0	0	0.8622950819672132	0.1377049180327869	0	310	0.9838709677419355
43	2000	986	0.02535496957403651	0.09026369168356999	0.7626774847870182	0.12170385395537525	0	1251	0.7881694644284573
43	5000	4785	0.07565308254963428	0.3895506792058516	0.3749216300940439	0.13019853709508883	0.0296760710553814	7813	0.6124408037885576
43	10000	18158	0.31424165657010683	0.48430443881484747	0.13123692036567905	0.06140544112787752	0.00881154312148915	31264	0.5807958034800409
44	500	78	0.10256410256410256	0.3076923076923077	0.5897435897435898	0	0	78	1
44	1000	310	0.12903225806451613	0.49032258064516127	0.38064516129032255	0	0	315	0.9841269841269841
44	2000	1018	0.1444007858546169	0.6601178781925344	0.19548133595284872	0	0	1251	0.8137490007993605
44	5000	4770	0.2662473794549266	0.6264150943396226	0.04716981132075472	0.060167714884696015	0	7828	0.6093510475217169
44	10000	19943	0.2966454395025824	0.6000601714887429	0.01584515870230156	0.08604522890237176	0.001404001404001404	31279	0.6375843217494166
45	500	79	1	0	0	0	0	79	1
45	1000	312	0.9006410256410257	0.08333333333333333	0	0.016025641025641024	0	312	1
45	2000	1251	0.718625099920064	0.23421262989608313	0	0.04716227018385292	0	1251	1
45	5000	7433	0.5977398089600431	0.27781514866137497	0.003632449885645096	0.12081259249293691	0	7811	0.9516067084880298
45	10000	23482	0.6302699940379866	0.2593049995741419	0.022570479516225195	0.08785452687164637	0	31282	0.7506553289431622
46	500	79	0.5063291139240507	0	0	0.27848101265822783	0.21518987341772153	79	1
46	1000	312	0.5801282051282052	0	0	0.17307692307692307	0.2467948717948718	312	1
46	2000	1237	0.423605497170574	0.12530315278900567	0	0.24818108326596605	0.2029102667744543	1249	0.9903923138510808
47	500	79	0	1	0	0	0	79	1
47	1000	316	0.06645569620253164	0.9335443037974683	0	0	0	316	1
47	2000	1251	0.08473221422861711	0.8848920863309353	0	0.030375699440447643	0	1251	1
47	5000	6926	0.14192896332659544	0.7336124747328906	0.008518625469246319	0.11233034940802772	0.0036095870632399654	7815	0.8862444017914267
47	10000	22551	0.20872688572568843	0.641168906035209	0.011219014677841338	0.1256263580329032	0.013258835528357944	31284	0.7208477176831607
48	500	75	0	0.32	0.68	0	0	75	1
48	1000	311	0	0.2829581993569132	0.6752411575562701	0.04180064308681672	0	311	1
48	2000	1248	0	0.3469551282051282	0.42788461538461536	0.22516025641025642	0	1249	0.9991993594875901
48	5000	6141	0.09737827715355805	0.5284155674971504	0.26917440156326333	0.10372903435922488	0.0013027194268034523	7815	0.7857965451055662
48	10000	21021	0.31026116740402454	0.5143428000570858	0.10513296227581942	0.06084391798677513	0.009419152276295133	31267	0.672306265391627
49	500	77	0.2597402597402597	0.7402597402597403	0	0	0	77	1
49	1000	310	0.5516129032258065	0.44193548387096776	0	0.0064516129032258064	0	310	1
49	2000	1246	0.6163723916532905	0.3451043338683788	0	0.038523274478330656	0	1246	1
49	5000	7815	0.4657709532949456	0.5188739603326935	0	0.015355086372360844	0	7815	1
49	10000	30774	0.4013452914798206	0.5657373107168389	0.007636316370962501	0.023266393708975108	0.0020146877234028726	31270	0.9841381515829869
50	500	79	0.9620253164556962	0.0379746835443038	0	0	0	79	1
50	1000	315	0.7492063492063492	0.12063492063492064	0.03492063492063492	0.09523809523809523	0	315	1
50	2000	1239	0.6892655367231638	0.07990314769975787	0.0645682001614205	0.16626311541565778	0	1259	0.9841143764892772
50	5000	5580	0.7030465949820789	0.07634408602150537	0.014336917562724014	0.20627240143369174	0	7829	0.7127347043045089
50	10000	15652	0.614106823409149	0.2480833120368004	0.022680807564528494	0.11512905698952211	0	31288	0.5002556890820762
51	500	79	0.7088607594936709	0.2911392405063291	0	0	0	79	1
51	1000	312	0.4326923076923077	0.5673076923076923	0	0	0	312	1
